A     B    C
LR    NO   0.50908201932907
RF    NO   0.33997735595701
DT    NO   0.85000610351562
KNN   NO   0.72680056095123
LR    SI   0.50908201932907
RF    SI   0.33997735595701
DT    SI   0.85000610351562
KNN   SI   0.72680056095123
LR    NO   0.57250368595123
RF    NO   0.30418292236328
DT    NO      0.835009765625
KNN   NO   0.35620728135109
LR    SI   0.57250368595123
RF    SI   0.30418292236328
DT    SI      0.835009765625
KNN   SI   0.35620728135109
LR    NO    0.4940185546875
RF    NO   0.57692047119141
DT    NO    1.0450073242188
KNN   NO   0.47800904512405
LR    SI    0.4940185546875
RF    SI   0.57692047119141
DT    SI    1.0450073242188
KNN   SI   0.47800904512405
LR    NO   0.57838743925095
RF    NO      0.498681640625
DT    NO    1.0294982910156
KNN   NO   0.63991087675095
LR    SI   0.57838743925095
RF    SI      0.498681640625
DT    SI    1.0294982910156
KNN   SI   0.63991087675095
LR    NO   0.26442259550095
RF    NO   0.42862139892579
DT    NO   0.46749267578125
KNN   NO   0.33050537109375
LR    SI   0.26442259550095
RF    SI   0.42862139892579
DT    SI   0.46749267578125
KNN   SI   0.33050537109375
LR    NO   0.36874389648438
RF    NO   0.41375762939454
DT    NO   0.88250732421875
KNN   NO   0.33249512314796
LR    SI   0.36874389648438
RF    SI   0.41375762939454
DT    SI   0.88250732421875
KNN   SI   0.33249512314796
LR    NO    0.5795105099678
RF    NO   0.36867889404297
DT    NO   0.50249633789062
KNN   NO   0.61929929256439
LR    SI    0.5795105099678
RF    SI   0.36867889404297
DT    SI   0.50249633789062
KNN   SI   0.61929929256439
LR    NO   0.19918823242188
RF    NO   0.23684014892577
DT    NO   0.55250854492187
KNN   NO   0.36389771103859
LR    SI   0.19918823242188
RF    SI   0.23684014892577
DT    SI   0.55250854492187
KNN   SI   0.36389771103859
LR    NO   0.26998901367188
RF    NO   0.15115948486327
DT    NO    0.5094970703125
KNN   NO   0.18810424208641
LR    SI   0.26998901367188
RF    SI   0.15115948486327
DT    SI    0.5094970703125
KNN   SI   0.18810424208641
LR    NO   0.53744506835938
RF    NO      0.515001953125
DT    NO   0.72000122070312
KNN   NO   0.48759764432907
LR    SI   0.53744506835938
RF    SI      0.515001953125
DT    SI   0.72000122070312
KNN   SI   0.48759764432907
LR    NO   0.42403563857079
RF    NO   0.59237866210939
DT    NO    1.0044982910156
KNN   NO    0.7489013671875
LR    SI   0.42403563857079
RF    SI   0.59237866210939
DT    SI    1.0044982910156
KNN   SI    0.7489013671875
LR    NO   0.45070189237595
RF    NO   0.34495806884765
DT    NO    0.8280029296875
KNN   NO   0.55499875545502
LR    SI   0.45070189237595
RF    SI   0.34495806884765
DT    SI    0.8280029296875
KNN   SI   0.55499875545502
LR    NO   0.37678223848343
RF    NO   0.38038189697265
DT    NO   0.64751586914062
KNN   NO   0.58149415254593
LR    SI   0.37678223848343
RF    SI   0.38038189697265
DT    SI   0.64751586914062
KNN   SI   0.58149415254593
LR    NO   0.64134520292282
RF    NO   0.55537982177734
DT    NO   0.61500244140625
KNN   NO   0.74099731445312
LR    SI   0.64134520292282
RF    SI   0.55537982177734
DT    SI   0.61500244140625
KNN   SI   0.74099731445312
LR    NO      0.965087890625
RF    NO   0.80546673583984
DT    NO      1.010009765625
KNN   NO   0.92360228300095
LR    SI      0.965087890625
RF    SI   0.80546673583984
DT    SI      1.010009765625
KNN   SI   0.92360228300095
LR    NO    0.6728088259697
RF    NO   0.71863793945313
DT    NO   0.67499389648438
KNN   NO   0.59400635957718
LR    SI    0.6728088259697
RF    SI   0.71863793945313
DT    SI   0.67499389648438
KNN   SI   0.59400635957718
LR    NO   0.46096190810204
RF    NO   0.69703552246093
DT    NO    1.0399963378906
KNN   NO   0.50240480899811
LR    SI   0.46096190810204
RF    SI   0.69703552246093
DT    SI    1.0399963378906
KNN   SI   0.50240480899811
LR    NO   0.32593384385109
RF    NO   0.30371649169921
DT    NO   0.25999755859375
KNN   NO   0.33599242568016
LR    SI   0.32593384385109
RF    SI   0.30371649169921
DT    SI   0.25999755859375
KNN   SI   0.33599242568016
LR    NO    0.3055419921875
RF    NO   0.33102130126952
DT    NO   0.65499267578125
KNN   NO   0.93179321289062
LR    SI    0.3055419921875
RF    SI   0.33102130126952
DT    SI   0.65499267578125
KNN   SI   0.93179321289062
LR    NO   0.43867188692093
RF    NO   0.48858209228516
DT    NO   0.63749389648438
KNN   NO   0.51651000976562
LR    SI   0.43867188692093
RF    SI   0.48858209228516
DT    SI   0.63749389648438
KNN   SI   0.51651000976562
LR    NO   0.39205932617188
RF    NO   0.40334417724611
DT    NO   0.98500366210937
KNN   NO   0.57658690214157
LR    SI   0.39205932617188
RF    SI   0.40334417724611
DT    SI   0.98500366210937
KNN   SI   0.57658690214157
LR    NO   0.38848876953125
RF    NO    0.5552626953125
DT    NO    1.0849975585937
KNN   NO   0.92900389432907
LR    SI   0.38848876953125
RF    SI    0.5552626953125
DT    SI    1.0849975585937
KNN   SI   0.92900389432907
LR    NO   0.24127197265625
RF    NO   0.26098150634765
DT    NO   0.56500854492188
KNN   NO   0.50659787654877
LR    SI   0.24127197265625
RF    SI   0.26098150634765
DT    SI   0.56500854492188
KNN   SI   0.50659787654877
LR    NO   0.44504395127296
RF    NO   0.56118060302734
DT    NO    0.6344970703125
KNN   NO   0.54450070858002
LR    SI   0.44504395127296
RF    SI   0.56118060302734
DT    SI    0.6344970703125
KNN   SI   0.54450070858002

